                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4973,                  3.359,                  1.902,                0.67187,                0.14639,                0.12205,                0.04742,                 2.3239,                    2.2,                 1.7834,                7.4e-05,                7.4e-05,                7.4e-05
                      2,                 1.8786,                 1.7042,                 1.4709,                0.64315,                0.19325,                0.21578,                0.09687,                  1.917,                  1.541,                 1.4307,             0.00014419,             0.00014419,             0.00014419
                      3,                 1.6579,                 1.4387,                 1.2845,                0.45003,                0.22845,                0.24076,                0.11261,                 1.8479,                 1.6074,                 1.4025,             0.00020669,             0.00020669,             0.00020669
                      4,                 1.5374,                 1.3037,                 1.2552,                0.67615,                0.25702,                0.28414,                0.13475,                 1.6675,                 1.3983,                 1.2913,              0.0002615,              0.0002615,              0.0002615
                      5,                 1.5023,                 1.1916,                 1.2195,                0.33054,                0.37251,                 0.3192,                0.14614,                 1.6556,                 1.3519,                 1.2926,             0.00029674,             0.00029674,             0.00029674
                      6,                 1.5102,                 1.1468,                 1.2079,                0.32812,                0.34447,                0.28512,                0.15238,                 1.5797,                 1.3257,                 1.2441,             0.00027842,             0.00027842,             0.00027842
                      7,                 1.4344,                 1.1043,                 1.1871,                0.69202,                 0.3516,                0.35381,                0.17595,                 1.5863,                 1.1691,                 1.2521,             0.00026011,             0.00026011,             0.00026011
                      8,                 1.3425,                 1.0336,                 1.1416,                0.70675,                0.40696,                0.42038,                0.21577,                 1.4233,                 1.0264,                 1.1695,             0.00024179,             0.00024179,             0.00024179
                      9,                  1.297,                0.97209,                  1.131,                0.59078,                0.36206,                0.42243,                0.21805,                 1.4092,                0.95559,                 1.1625,             0.00022348,             0.00022348,             0.00022348
                     10,                 1.2561,                0.92417,                 1.1242,                0.62051,                0.39369,                0.42701,                0.23048,                 1.4063,                 0.9334,                 1.1529,             0.00020516,             0.00020516,             0.00020516
                     11,                 1.3289,                0.97104,                 1.1378,                0.58294,                0.41927,                0.43762,                0.22909,                  1.391,                0.96183,                 1.1702,             0.00018685,             0.00018685,             0.00018685
                     12,                  1.267,                0.88731,                 1.1061,                 0.7109,                 0.4108,                0.45754,                0.24331,                 1.3357,                 0.9163,                 1.1347,             0.00016853,             0.00016853,             0.00016853
                     13,                 1.1884,                0.84899,                 1.0931,                0.64397,                 0.4329,                0.47537,                0.25114,                 1.3655,                 0.8984,                 1.1562,             0.00015022,             0.00015022,             0.00015022
                     14,                 1.2226,                 0.8187,                  1.082,                0.66009,                 0.5058,                0.52458,                0.27889,                 1.3373,                0.89115,                 1.1494,             0.00013191,             0.00013191,             0.00013191
                     15,                 1.1718,                0.79562,                 1.0689,                0.70388,                0.49184,                0.52434,                0.27946,                 1.2928,                0.86434,                 1.1198,             0.00011359,             0.00011359,             0.00011359
                     16,                 1.1676,                0.78071,                  1.063,                0.61814,                0.45738,                0.49473,                0.27153,                 1.2516,                0.85733,                 1.0921,             9.5275e-05,             9.5275e-05,             9.5275e-05
                     17,                  1.078,                0.72862,                 1.0331,                0.60325,                 0.4958,                0.50901,                0.28008,                 1.2546,                0.82864,                 1.0951,              7.696e-05,              7.696e-05,              7.696e-05
                     18,                 1.1003,                0.72252,                  1.041,                0.79059,                0.43819,                0.51703,                0.29053,                 1.2723,                0.82514,                 1.1019,             5.8645e-05,             5.8645e-05,             5.8645e-05
                     19,                 1.0498,                0.70115,                  1.023,                 0.5973,                0.49245,                0.51402,                0.29421,                 1.2452,                0.81722,                 1.0902,              4.033e-05,              4.033e-05,              4.033e-05
                     20,                 1.0612,                0.69403,                 1.0256,                0.64119,                0.51312,                0.54285,                0.29623,                 1.2455,                0.81413,                  1.092,             2.2015e-05,             2.2015e-05,             2.2015e-05
